lfnr;Form ID
1560;2149
1561;2149
1562;2149
1563;2149
1564;2149
1565;2149
1566;2149
1567;2149
1568;2149
1569;2149
1570;2149
1571;2149
1572;2149
1573;2149
1574;2149
1575;2149
1576;2149
1577;2149
1578;2149
1579;2149
1580;2149
1581;2149
1582;2149
1583;2149
1584;2149
1585;2149
1586;2149
1587;2149
1588;2149
1589;2149
1590;2149
1591;2149
1592;2149
1593;2149
1594;2149
1595;2149
1596;2149
1597;2149
1598;2149
1599;2149
1600;2149
1601;2149
1602;2149
1603;2149
1604;2149
1605;2149
1606;2149
1607;2149
1608;2149
1609;2149
1610;2149
1611;2149
1612;2149
1613;2149
1614;2149
1615;2149
1616;2149
1617;2149
1618;2149
1619;2149
1620;2149
1621;2149
1622;2149
1623;2149
1624;2149
1625;2149
1626;2149
1627;3850
1628;3850
1629;3850
1630;3850
1631;3850
1632;3850
1633;3850
1634;3850
1635;3850
1636;3850
1637;3850
1638;3850
1639;3850
1640;3850
1641;3850
1642;3850
1643;3850
1644;3850
1645;3850
1646;3850
1647;3850
1648;2149
1649;2149
1650;2149
1651;2149
1652;2149
1653;2149
1654;2149
1655;2149
1656;2149
1657;2149
1658;2149
1659;2149
1660;2149
1661;2149
1662;2149
1663;2149
1664;2149
1665;2149
1666;2149
1667;2149
1668;2149
1669;2149
1670;2559
1671;7681
1672;7681
1673;7681
1674;7681
1675;7681
1676;7681
1677;7681
1678;7681
1679;7681
1680;7681
1681;7681
1682;7681
1683;7681
1684;7681
1685;7681
1686;7681
1687;7681
1688;7681
1689;7681
1690;7681
1691;7681
1692;7681
1693;7681
1694;7681
1695;7681
1696;7681
1697;7681
1698;7681
1699;7681
1700;7681
1701;7681
1702;7681
1703;7681
1704;7681
1705;7681
1706;7681
1707;7681
1708;7681
1709;7681
1710;7681
1711;7681
1712;7681
1713;7681
1714;7681
1715;7681
1716;7681
1717;7681
1718;7681
1719;7681
1720;7681
1721;7681
1722;7681
1723;7681
1724;7681
1725;7681
1726;7681
1727;7681
1728;7681
1729;7681
1730;7681
1731;7681
1732;7681
1733;7681
1734;7681
1735;7681
1736;7681
1737;7681
1738;7681
1739;7681
1740;7681
1741;7681
1742;7681
1743;7681
1744;7681
1745;7681
1746;7681
1747;7681
1748;7681
1749;7681
1750;7681
1751;7681
1752;7681
1753;7681
1754;7681
1755;7681
1756;7681
1757;7681
1758;7681
1759;7681
1760;7681
1761;7681
1762;7681
1763;7681
1764;7681
1765;7681
1766;7681
1767;7681
1768;7681
1769;7681
1770;7681
1771;7681
1772;7681
1773;7681
1774;7681
1775;7681
1776;7681
1777;7681
1778;7681
1779;7681
1780;7681
1781;7681
1782;7681
1783;7681
1784;7681
1785;7681
1786;7681
1787;7681
1788;7681
